state,year,nationality,type,sex,agegrp,nPrisoners
A & N Islands,2010,Indians,Convicts,Male,16-18,0
A & N Islands,2010,Indians,Convicts,Male,18-30,7
A & N Islands,2010,Indians,Convicts,Male,30-50,39
A & N Islands,2010,Indians,Convicts,Male,50+,11
A & N Islands,2010,Indians,Under Trials,Female,16-18,0
A & N Islands,2010,Indians,Under Trials,Female,18-30,0
A & N Islands,2010,Indians,Under Trials,Female,30-50,2
A & N Islands,2010,Indians,Under Trials,Female,50+,0
A & N Islands,2010,Indians,Under Trials,Male,16-18,0
A & N Islands,2010,Indians,Under Trials,Male,18-30,27
A & N Islands,2010,Indians,Under Trials,Male,30-50,29
A & N Islands,2010,Indians,Under Trials,Male,50+,7
A & N Islands,2011,Foreigners,Convicts,Female,16-18,0
A & N Islands,2011,Foreigners,Convicts,Female,18-30,0
A & N Islands,2011,Foreigners,Convicts,Female,30-50,0
A & N Islands,2011,Foreigners,Convicts,Female,50+,0
A & N Islands,2011,Foreigners,Convicts,Male,16-18,0
A & N Islands,2011,Foreigners,Convicts,Male,18-30,90
A & N Islands,2011,Foreigners,Convicts,Male,30-50,210
A & N Islands,2011,Foreigners,Convicts,Male,50+,57
A & N Islands,2011,Foreigners,Under Trials,Female,16-18,0
A & N Islands,2011,Foreigners,Under Trials,Female,18-30,0
A & N Islands,2011,Foreigners,Under Trials,Female,30-50,1
A & N Islands,2011,Foreigners,Under Trials,Female,50+,0
A & N Islands,2011,Foreigners,Under Trials,Male,16-18,0
A & N Islands,2011,Foreigners,Under Trials,Male,18-30,220
A & N Islands,2011,Foreigners,Under Trials,Male,30-50,314
A & N Islands,2011,Foreigners,Under Trials,Male,50+,54
A & N Islands,2011,Indians,Convicts,Female,16-18,0
A & N Islands,2011,Indians,Convicts,Female,18-30,0
A & N Islands,2011,Indians,Convicts,Female,30-50,0
A & N Islands,2011,Indians,Convicts,Female,50+,0
A & N Islands,2011,Indians,Convicts,Male,16-18,0
A & N Islands,2011,Indians,Convicts,Male,18-30,6
A & N Islands,2011,Indians,Convicts,Male,30-50,34
A & N Islands,2011,Indians,Convicts,Male,50+,18
A & N Islands,2011,Indians,Under Trials,Female,16-18,0
A & N Islands,2011,Indians,Under Trials,Female,18-30,2
A & N Islands,2011,Indians,Under Trials,Female,30-50,3
A & N Islands,2011,Indians,Under Trials,Female,50+,1
A & N Islands,2011,Indians,Under Trials,Male,16-18,0
A & N Islands,2011,Indians,Under Trials,Male,18-30,33
A & N Islands,2011,Indians,Under Trials,Male,30-50,52
A & N Islands,2011,Indians,Under Trials,Male,50+,24
A & N Islands,2012,Foreigners,Convicts,Female,16-18,0
A & N Islands,2012,Foreigners,Convicts,Female,18-30,0
A & N Islands,2012,Foreigners,Convicts,Female,30-50,0
A & N Islands,2012,Foreigners,Convicts,Female,50+,0
A & N Islands,2012,Foreigners,Convicts,Male,16-18,0
A & N Islands,2012,Foreigners,Convicts,Male,18-30,172
A & N Islands,2012,Foreigners,Convicts,Male,30-50,401
A & N Islands,2012,Foreigners,Convicts,Male,50+,132
A & N Islands,2012,Foreigners,Under Trials,Female,16-18,0
A & N Islands,2012,Foreigners,Under Trials,Female,18-30,0
A & N Islands,2012,Foreigners,Under Trials,Female,30-50,1
A & N Islands,2012,Foreigners,Under Trials,Female,50+,0
A & N Islands,2012,Foreigners,Under Trials,Male,16-18,0
A & N Islands,2012,Foreigners,Under Trials,Male,18-30,98
A & N Islands,2012,Foreigners,Under Trials,Male,30-50,129
A & N Islands,2012,Foreigners,Under Trials,Male,50+,37
A & N Islands,2012,Indians,Convicts,Female,16-18,0
A & N Islands,2012,Indians,Convicts,Female,18-30,0
A & N Islands,2012,Indians,Convicts,Female,30-50,0
A & N Islands,2012,Indians,Convicts,Female,50+,0
A & N Islands,2012,Indians,Convicts,Male,16-18,0
A & N Islands,2012,Indians,Convicts,Male,18-30,8
A & N Islands,2012,Indians,Convicts,Male,30-50,25
A & N Islands,2012,Indians,Convicts,Male,50+,22
A & N Islands,2012,Indians,Under Trials,Female,16-18,0
A & N Islands,2012,Indians,Under Trials,Female,18-30,6
A & N Islands,2012,Indians,Under Trials,Female,30-50,2
A & N Islands,2012,Indians,Under Trials,Female,50+,0
A & N Islands,2012,Indians,Under Trials,Male,16-18,0
A & N Islands,2012,Indians,Under Trials,Male,18-30,27
A & N Islands,2012,Indians,Under Trials,Male,30-50,46
A & N Islands,2012,Indians,Under Trials,Male,50+,20
A & N Islands,2013,Foreigners,Convicts,Female,16-18,0
A & N Islands,2013,Foreigners,Convicts,Female,18-30,0
A & N Islands,2013,Foreigners,Convicts,Female,30-50,0
A & N Islands,2013,Foreigners,Convicts,Female,50+,0
A & N Islands,2013,Foreigners,Convicts,Male,16-18,0
A & N Islands,2013,Foreigners,Convicts,Male,18-30,257
A & N Islands,2013,Foreigners,Convicts,Male,30-50,573
A & N Islands,2013,Foreigners,Convicts,Male,50+,68
A & N Islands,2013,Foreigners,Under Trials,Female,16-18,0
A & N Islands,2013,Foreigners,Under Trials,Female,18-30,0
A & N Islands,2013,Foreigners,Under Trials,Female,30-50,1
A & N Islands,2013,Foreigners,Under Trials,Female,50+,0
A & N Islands,2013,Foreigners,Under Trials,Male,16-18,0
A & N Islands,2013,Foreigners,Under Trials,Male,18-30,41
A & N Islands,2013,Foreigners,Under Trials,Male,30-50,57
A & N Islands,2013,Foreigners,Under Trials,Male,50+,11
A & N Islands,2013,Indians,Convicts,Female,16-18,0
A & N Islands,2013,Indians,Convicts,Female,18-30,0
A & N Islands,2013,Indians,Convicts,Female,30-50,1
A & N Islands,2013,Indians,Convicts,Female,50+,0
